,tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,plot,actor
0,tt10023022,Clean,Clean,2021,94,"Action,Crime,Drama",5.6,9484.0,"Clean is a garbage man, attempting a quiet life of redemption, like renovating his community's dilapidated homes. He is troubled by a violent past and the loss of his daughter. When a mishap makes him the target of a crime boss, Clean is forced to come to terms with his past as the violence of his previous life is slowly catching up with him.",Adrien Brody
1,tt10059518,Unhinged,Unhinged,2020,90,"Action,Thriller",6.0,71456.0,"Academy Award winner Russell Crowe stars in Unhinged, a psychological thriller that takes something we've all experienced- road rage - to an unpredictable and terrifying conclusion. Rachel (Caren Pistorius) is running late getting to work when she crosses paths with a stranger (Crowe) at a traffic light. Soon, Rachel finds herself, and everyone she loves, the target of a man who feels invisible and is looking to make one last mark upon the world by teaching her a series of deadly lessons. What follows is a dangerous game of cat and mouse that proves you never know who you're driving next to.",Russell Crowe
2,tt1013743,Knight and Day,Knight and Day,2010,109,"Action,Adventure,Comedy",6.3,201291.0,"Looking forward to attending her sister April's wedding, the commitment-shy tomboy and classic cars aficionado, June Havens, catches a plane to Boston. Then, out of the blue, she crosses paths with the handsome and charming stranger with the killer sense of humour, Roy Miller, and just like that, June's life will never be the same again. Now, as the dashing man of intrigue plunges June into an excitingly risky world of high-speed car chases, deadly man-to-man fights, and lethal stray bullets, dangerous, no-nonsense adversaries are after the mismatched duo, hell-bent on retrieving a tiny state-of-the-art device that's worth millions. But, who's this Roy Miller guy? Is he truly one of the good guys? Above all, could he be the one?",Tom Cruise
3,tt10228134,Jolt,Jolt,2021,91,"Action,Comedy,Crime",5.6,32967.0,"A bouncer with a slightly murderous anger-management problem that she controls with the help of an electrode-lined vest she uses to shock herself back to normalcy whenever she gets homicidal. After the first guy she's ever fallen for is murdered, she goes on a revenge-fueled rampage to find the killer while the cops pursue her as their chief suspect.",Stanley Tucci
4,tt1025100,Gemini Man,Gemini Man,2019,117,"Action,Sci-Fi,Thriller",5.7,116259.0,"Retiring assassin, Henry Brogan finds himself pursued by a mysterious killer who can predict his every move. When he discovers that he is being hunted by a younger clone of himself, Henry needs to find out why he is being targeted and who the creator is.",Will Smith
5,tt10272386,The Father,The Father,2020,97,"Drama,Mystery",8.2,165107.0,"Having just scared off his recent caregiver, Anthony, an ailing, octogenarian Londoner gradually succumbing to dementia, feels abandoned when concerned Anne, his daughter, tells him she's moving to Paris. Confused and upset, against the backdrop of a warped perspective and his rapid, heart-rending mental decline, Anthony is starting to lose his grip on reality, struggling to navigate the opaque landscape of present and past. Now, as faded memories and glimpses of lucidity trigger sudden mood swings, dear ones, Anthony's surroundings, and even time itself become distorted. Why has his younger daughter stopped visiting? Who are the strangers that burst in on Anthony?",Anthony Hopkins
6,tt10304142,Amsterdam,Amsterdam,2022,134,"Comedy,Drama,History",6.1,74105.0,"""Amsterdam,"" the latest film from acclaimed writer/director David O. Russell, is a fascinating and richly intricate tale that brilliantly weaves historical fact with fiction for a timely, cinematic experience. 20th Century Studios' and New Regency's original crime epic is about three close friends who find themselves at the center of one of the most shocking secret plots in American history.",Christian Bale
7,tt10342730,Spiral,Spiral: From the Book of Saw,2021,93,"Crime,Horror,Mystery",5.2,57446.0,"Working in the shadow of his father, an esteemed police veteran (Samuel L. Jackson), brash Detective Ezekiel ""Zeke"" Banks (Chris Rock) and his rookie partner (Max Minghella) take charge of a grisly investigation into murders that are eerily reminiscent of the city's gruesome past. Unwittingly entrapped in a deepening mystery, Zeke finds himself at the center of the killer's morbid game.",Samuel L. Jackson
8,tt10366206,John Wick: Chapter 4,John Wick: Chapter 4,2023,169,"Action,Crime,Thriller",8.2,119467.0,"Condemned by the tyrannical High Table to be on the run for the rest of his life, deadly assassin maestro John Wick (2014) embarks on a Sisyphean mission of suicidal fury to decide his fate after the merciless carnage in John Wick: Chapter 3 - Parabellum (2019). At last, John's violent journey, fuelled by vengeance and grief, ultimately leads him to a fateful confrontation with his former employers, the crime masters that forced him into exile. And as the blood-stained vendetta to destroy those who pull the strings continues, old companions face the brutal consequences of friendship, and all-powerful, well-connected adversaries emerge to bring Wick's head on a platter. But talk is cheap--now guns have the final say. Can Baba Yaga, the grim messiah of death, make every bullet count in this bloody, once-and-for-all struggle for freedom?",Keanu Reeves
9,tt10640346,Babylon,Babylon,2022,189,"Comedy,Drama,History",7.2,108296.0,"An original epic set in 1920s Los Angeles led by Brad Pitt, Margot Robbie and Diego Calva, with an ensemble cast including Jovan Adepo, Li Jun Li and Jean Smart. A tale of outsized ambition and outrageous excess, it traces the rise and fall of multiple characters during an era of unbridled decadence and depravity in early Hollywood.",Brad Pitt
10,tt10648342,Thor: Love and Thunder,Thor: Love and Thunder,2022,118,"Action,Adventure,Comedy",6.2,356804.0,"Thor's retirement is interrupted by a galactic killer known as Gorr the God Butcher, who seeks the extinction of the gods. To combat the threat, Thor enlists the help of King Valkyrie, Korg and ex-girlfriend Jane Foster, who - to Thor's surprise - inexplicably wields his magical hammer, Mjolnir, as the Mighty Thor. Together, they embark upon a harrowing cosmic adventure to uncover the mystery of the God Butcher's vengeance and stop him before it's too late.",Chris Hemsworth
11,tt10696896,Stillwater,Stillwater,2021,139,"Crime,Drama,Thriller",6.6,46362.0,"Defeated by unemployment and the ghosts of the past, Bill Baker, an unemployed oil-rig worker from Stillwater, Oklahoma, is on the ropes. However, convinced of his daughter's innocence, who has already served five long years of a nine-year prison sentence for the murder of her girlfriend, widowed Bill travels to the port city of Marseilles, France, to visit estranged Allison. Now, while confronted with an insurmountable language barrier, cross-cultural differences, and maddening legal complexity, Baker decides to take matters into his own hands to exonerate his only child after failing to get Allison's case re-opened. But, second chances are hard to come by. Can the sad-eyed father forge new bonds with his long-lost child, and in the process, let the truth shine?",Matt Damon
12,tt1074638,Skyfall,Skyfall,2012,143,"Action,Adventure,Thriller",7.8,707426.0,"When James Bond's (Daniel Craig's) latest assignment goes gravely wrong and Agents around the world are exposed, MI6 is attacked, forcing (M Dame Judi Dench) to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory (Ralph Fiennes), the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows, aided only by field agent, Miss Eve Moneypenny (Naomie Harris), following a trail to the mysterious Tiago Rodriguez, a.k.a. Raoul Silva (Javier Bardem), whose lethal and hidden motives have yet to reveal themselves.",Daniel Craig
